name,latitude,longitude,エレベーター有/避難スペースが１階,スロープ等,点字ブロック,だれでもトイレ,その他
東砂小学校,35.68334017,139.8443343,1,1,1,1,
北砂小学校,35.68313363,139.823536,1,1,1,1,
南砂小学校,35.67189794,139.8250364,0,0,0,0,
亀高小学校,35.68493272,139.8341101,0,0,0,0,
深川第一中学校,35.68528492,139.8059684,0,0,0,0,
深川第二中学校,35.67638877,139.8003813,0,0,1,0,
深川第三中学校,35.66671974,139.795866,1,1,1,1,
深川第四中学校,35.6789608,139.8124161,0,0,0,0,
深川第五中学校,35.65234145,139.7996713,1,1,1,1,
深川第六中学校,35.67888563,139.8055637,1,0,1,1,
深川第七中学校,35.69127045,139.8136215,0,0,0,0,
深川第八中学校,35.66475839,139.8121037,1,1,1,1,
有明中学校,35.640126,139.796147,1,1,1,1,
辰巳中学校,35.64696038,139.8117855,0,0,0,1,
東陽中学校,35.66672423,139.8141695,0,0,0,0,
亀戸中学校,35.69527177,139.841902,0,0,0,0,
第二亀戸中学校,35.70263869,139.8325455,1,1,1,1,
第三亀戸中学校,35.69504723,139.8212397,1,1,1,0,
大島中学校,35.6864367,139.8396255,1,1,1,1,
第二大島中学校,35.69194985,139.831331,0,0,1,0,
大島西中学校,35.68628739,139.8274946,0,0,0,0,
砂町中学校,35.68525676,139.8369528,0,1,0,0,
第二砂町中学校,35.66833973,139.8394613,0,0,0,1,
第三砂町中学校,35.67010828,139.830196,0,0,0,1,
南砂中学校,35.67328175,139.8236874,0,0,0,0,
第四砂町中学校,35.68471168,139.8318543,0,0,1,0,
第二南砂中学校,35.67795816,139.8215984,0,0,0,1,
墨田工業高等学校,35.68530094,139.8068674,0,0,0,0,
第三商業高等学校,35.66280417,139.7958342,1,0,0,0,
大江戸高等学校,35.67928592,139.8179787,1,0,0,0,
深川高等学校,35.67102178,139.8155912,1,0,0,0,
江東商業高等学校,35.70250367,139.8315276,1,0,0,0,
城東高等学校,35.6928147,139.8292741,1,0,0,0,
科学技術高等学校,35.68704914,139.821416,1,0,0,0,
東高等学校,35.67376605,139.8369033,1,0,0,0,
深川図書館,35.67915536,139.7967195,1,1,0,1,自動ドア・オストメイト設備・ベビーベッド
森下児童館,35.68589377,139.8029417,1,1,1,1,授乳室・オストメイト設備・ベビーベッド
森下文化センター,35.68515283,139.8021428,1,1,1,1,自動ドア・授乳室・壁面収納型オムツ替えベッド・オストメイト設備（だれでもトイレ内）
森下保育園,35.68607975,139.8031216,1,1,1,1,
白河保育園,35.68318399,139.799695,0,0,0,0,
白河かもめ保育園,35.68341298,139.800204,0,1,0,1,
深川北子ども家庭支援センター,35.68605065,139.799104,1,0,1,0,授乳スペース・ベビーベッド・おむつ交換台
元加賀幼稚園,35.68274825,139.8075994,1,0,0,0,
深川北スポーツセンター,35.67689284,139.8051068,1,1,1,1,
深川一丁目保育園,35.67727056,139.7963816,1,0,0,0,
古石場保育園,35.6671138,139.7998247,0,0,0,0,
ちどり幼稚園,35.66920843,139.794864,1,1,0,0,
古石場文化センター,35.6668868,139.7990548,1,1,1,1,自動ドア・授乳室
東京海洋大学（越中島キャンパス）,35.66815745,139.7911764,1,0,0,0,
深川スポーツセンター,35.67033721,139.7914413,1,1,1,1,自動ドア・授乳室・オストメイト設備・車いす貸出・おむつ替えシート(女子トイレ内)
枝川区民館,35.65849105,139.8103161,1,1,1,1,
豊洲児童館,35.653885,139.802825,1,0,0,1,
東雲児童館,35.64335345,139.7992407,1,1,0,1,
辰巳児童館,35.64752424,139.8089657,1,1,1,1,授乳スペース・オムツ交換台
塩浜保育園,35.663759,139.801195,0,0,0,0,
塩崎保育園,35.66095373,139.8086282,1,1,1,1,
東雲保育園,35.6449443,139.8002375,1,0,0,0,
東雲第二保育園,35.64335345,139.7992407,1,0,0,0,授乳可
